"","REG","RED","Chapter","Article","Part","ShortN","LIMP","IMPMAX","IMPMIN","DISBATMAX","DISBATMIN","RESTOLMAX","RESTOLMIN","ARMAX","ARMIN","LIMMAX","LIMMIN","CORWMAX","CORWMIN","CIVMAX","CIVMIN","DEPRMAX","DEPRMIN","FINEMAX","FINEMIN","CONF","DEPRDOP","DEPRDOPMAX","DEPRDOPMIN","FINEDOP","FINEDOPMAX","FINEDOPMIN","GRADEMAN","GRADEAUTO"
"25","25",2013,"II","123",0,"Стаття 123. Умисне тяжке тілесне ушкодження, заподіяне у стані сильного душевного хвилювання",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","26",2013,"II","124",0,"Стаття 124. Умисне заподіяння тяжких тілесних ушкоджень у разі перевищення меж необхідної оборони або у разі перевищення заходів, необхідних для затримання особи, яка вчинила кримінальне правопорушення",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","27",2013,"II","125",1,"Стаття 125. Умисне легке тілесне ушкодження",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","28",2013,"II","125",2,"Стаття 125. Умисне легке тілесне ушкодження",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","29",2013,"II","126",1,"Стаття 126. Побої і мордування",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","30",2013,"II","126",2,"Стаття 126. Побої і мордування",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","31",2013,"II","127",1,"Стаття 127. Катування",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","32",2013,"II","127",2,"Стаття 127. Катування",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","33",2013,"II","127",3,"Стаття 127. Катування",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","34",2013,"II","127",4,"Стаття 127. Катування",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","35",2013,"II","128",0,"Стаття 128. Необережне тяжке або середньої тяжкості тілесне ушкодження",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","36",2013,"II","129",1,"Стаття 129. Погроза вбивством",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","37",2013,"II","129",2,"Стаття 129. Погроза вбивством",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","38",2013,"II","130",1,"Стаття 130. Зараження вірусом імунодефіциту людини чи іншої невиліковної інфекційної хвороби",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","39",2013,"II","130",2,"Стаття 130. Зараження вірусом імунодефіциту людини чи іншої невиліковної інфекційної хвороби",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","40",2013,"II","130",3,"Стаття 130. Зараження вірусом імунодефіциту людини чи іншої невиліковної інфекційної хвороби",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","41",2013,"II","130",4,"Стаття 130. Зараження вірусом імунодефіциту людини чи іншої невиліковної інфекційної хвороби",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","42",2013,"II","131",1,"Стаття 131. Неналежне виконання професійних обов'язків, що спричинило зараження особи вірусом імунодефіциту людини чи іншої невиліковної інфекційної хвороби",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","43",2013,"II","131",2,"Стаття 131. Неналежне виконання професійних обов'язків, що спричинило зараження особи вірусом імунодефіциту людини чи іншої невиліковної інфекційної хвороби",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","44",2013,"II","132",0,"Стаття 132. Розголошення відомостей про проведення медичного огляду на виявлення зараження вірусом імунодефіциту людини чи іншої невиліковної інфекційної хвороби",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","45",2013,"II","133",1,"Стаття 133. Зараження венеричною хворобою",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","46",2013,"II","133",2,"Стаття 133. Зараження венеричною хворобою",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","47",2013,"II","133",3,"Стаття 133. Зараження венеричною хворобою",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","48",2013,"II","134",1,"Стаття 134. Незаконне проведення аборту або стерилізації",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","49",2013,"II","134",2,"Стаття 134. Незаконне проведення аборту або стерилізації",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","50",2013,"II","135",1,"Стаття 135. Залишення в небезпеці",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","51",2013,"II","135",2,"Стаття 135. Залишення в небезпеці",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","52",2013,"II","135",3,"Стаття 135. Залишення в небезпеці",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","53",2013,"II","136",1,"Стаття 136. Ненадання допомоги особі, яка перебуває в небезпечному для життя стані",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","54",2013,"II","136",2,"Стаття 136. Ненадання допомоги особі, яка перебуває в небезпечному для життя стані",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","55",2013,"II","136",3,"Стаття 136. Ненадання допомоги особі, яка перебуває в небезпечному для життя стані",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","56",2013,"II","137",1,"Стаття 137. Неналежне виконання обов'язків щодо охорони життя та здоров'я дітей",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","57",2013,"II","137",2,"Стаття 137. Неналежне виконання обов'язків щодо охорони життя та здоров'я дітей",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","58",2013,"II","138",0,"Стаття 138. Незаконна лікувальна діяльність",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","59",2013,"II","139",1,"Стаття 139. Ненадання допомоги хворому медичним працівником",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","60",2013,"II","139",2,"Стаття 139. Ненадання допомоги хворому медичним працівником",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","61",2013,"II","140",1,"Стаття 140. Неналежне виконання професійних обов'язків медичним або фармацевтичним працівником",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","62",2013,"II","140",2,"Стаття 140. Неналежне виконання професійних обов'язків медичним або фармацевтичним працівником",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","63",2013,"II","141",0,"Стаття 141. Порушення прав пацієнта",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","64",2013,"II","142",1,"Стаття 142. Незаконне проведення дослідів над людиною",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","65",2013,"II","142",2,"Стаття 142. Незаконне проведення дослідів над людиною",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","66",2013,"II","143",1,"Стаття 143. Порушення встановленого законом порядку трансплантації анатомічних матеріалів людини",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","67",2013,"II","143",2,"Стаття 143. Порушення встановленого законом порядку трансплантації анатомічних матеріалів людини",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","68",2013,"II","143",3,"Стаття 143. Порушення встановленого законом порядку трансплантації анатомічних матеріалів людини",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","69",2013,"II","143",4,"Стаття 143. Порушення встановленого законом порядку трансплантації анатомічних матеріалів людини",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","70",2013,"II","143",5,"Стаття 143. Порушення встановленого законом порядку трансплантації анатомічних матеріалів людини",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","71",2013,"II","144",1,"Стаття 144. Насильницьке донорство",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","72",2013,"II","144",2,"Стаття 144. Насильницьке донорство",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","73",2013,"II","144",3,"Стаття 144. Насильницьке донорство",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","74",2013,"II","145",0,"Стаття 145. Незаконне розголошення лікарської таємниці",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","75",2013,"III","146",1,"Стаття 146. Незаконне позбавлення волі або викрадення людини",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","76",2013,"III","146",2,"Стаття 146. Незаконне позбавлення волі або викрадення людини",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","77",2013,"III","146",3,"Стаття 146. Незаконне позбавлення волі або викрадення людини",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","78",2013,"III","147",1,"Стаття 147. Захоплення заручників",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","79",2013,"III","147",2,"Стаття 147. Захоплення заручників",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","80",2013,"III","148",0,"Стаття 148. Підміна дитини",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","81",2013,"III","149",1,"Стаття 149. Торгівля людьми",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","82",2013,"III","149",2,"Стаття 149. Торгівля людьми",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","83",2013,"III","149",3,"Стаття 149. Торгівля людьми",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","84",2013,"III","150-1",1,"Стаття 150-1. Використання малолітньої дитини для заняття жебрацтвом",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","85",2013,"III","150-1",2,"Стаття 150-1. Використання малолітньої дитини для заняття жебрацтвом",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","86",2013,"III","150-1",3,"Стаття 150-1. Використання малолітньої дитини для заняття жебрацтвом",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","87",2013,"III","150",1,"Стаття 150. Експлуатація дітей",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","88",2013,"III","150",2,"Стаття 150. Експлуатація дітей",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","89",2013,"III","150",3,"Стаття 150. Експлуатація дітей",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","90",2013,"III","151",1,"Стаття 151. Незаконне поміщення в заклад з надання психіатричної допомоги",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","91",2013,"III","151",2,"Стаття 151. Незаконне поміщення в заклад з надання психіатричної допомоги",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","92",2013,"IV","152",1,"Стаття 152. Зґвалтування",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","93",2013,"IV","152",2,"Стаття 152. Зґвалтування",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","94",2013,"IV","152",3,"Стаття 152. Зґвалтування",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","95",2013,"IV","152",4,"Стаття 152. Зґвалтування",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","96",2013,"IV","153",1,"Стаття 153. Сексуальне насильство",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","97",2013,"IV","153",2,"Стаття 153. Сексуальне насильство",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","98",2013,"IV","153",3,"Стаття 153. Сексуальне насильство",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","99",2013,"IV","154",1,"Стаття 154. Примушування до вступу в статевий зв'язок",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","100",2013,"IV","154",2,"Стаття 154. Примушування до вступу в статевий зв'язок",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","101",2013,"IV","155",1,"Стаття 155. Вчинення дій сексуального характеру з особою, яка не досягла шістнадцятирічного віку",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","102",2013,"IV","155",2,"Стаття 155. Вчинення дій сексуального характеру з особою, яка не досягла шістнадцятирічного віку",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","103",2013,"IV","156",1,"Стаття 156. Розбещення неповнолітніх",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","104",2013,"IV","156",2,"Стаття 156. Розбещення неповнолітніх",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","105",2013,"V","157",1,"Стаття 157. Перешкоджання здійсненню виборчого права або права брати участь у референдумі, роботі виборчої комісії або комісії референдуму чи діяльності офіційного спостерігача",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","106",2013,"V","157",2,"Стаття 157. Перешкоджання здійсненню виборчого права або права брати участь у референдумі, роботі виборчої комісії або комісії референдуму чи діяльності офіційного спостерігача",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","107",2013,"V","157",3,"Стаття 157. Перешкоджання здійсненню виборчого права або права брати участь у референдумі, роботі виборчої комісії або комісії референдуму чи діяльності офіційного спостерігача",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","108",2013,"V","157",4,"Стаття 157. Перешкоджання здійсненню виборчого права або права брати участь у референдумі, роботі виборчої комісії або комісії референдуму чи діяльності офіційного спостерігача",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","109",2013,"V","158-1",1,"Стаття 158-1. Незаконне використання виборчого бюлетеня, бюлетеня для голосування на референдумі, голосування виборцем, учасником референдуму більше одного разу, викрадення, пошкодження, приховування або знищення виборчого бюлетеня, бюлетеня для голосування на референдумі",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","110",2013,"V","158-1",2,"Стаття 158-1. Незаконне використання виборчого бюлетеня, бюлетеня для голосування на референдумі, голосування виборцем, учасником референдуму більше одного разу, викрадення, пошкодження, приховування або знищення виборчого бюлетеня, бюлетеня для голосування на референдумі",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","111",2013,"V","158-2",1,"Стаття 158-2. Незаконне знищення або пошкодження виборчої документації або документації референдуму",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","112",2013,"V","158-2",2,"Стаття 158-2. Незаконне знищення або пошкодження виборчої документації або документації референдуму",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","113",2013,"V","158",1,"Стаття 158. Надання неправдивих відомостей до органу ведення Державного реєстру виборців або інше несанкціоноване втручання в роботу Державного реєстру виборців",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","114",2013,"V","158",10,"Стаття 158. Надання неправдивих відомостей до органу ведення Державного реєстру виборців або інше несанкціоноване втручання в роботу Державного реєстру виборців",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","115",2013,"V","158",11,"Стаття 158. Надання неправдивих відомостей до органу ведення Державного реєстру виборців або інше несанкціоноване втручання в роботу Державного реєстру виборців",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","116",2013,"V","158",12,"Стаття 158. Надання неправдивих відомостей до органу ведення Державного реєстру виборців або інше несанкціоноване втручання в роботу Державного реєстру виборців",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","117",2013,"V","158",2,"Стаття 158. Надання неправдивих відомостей до органу ведення Державного реєстру виборців або інше несанкціоноване втручання в роботу Державного реєстру виборців",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118","118",2013,"V","158",3,"Стаття 158. Надання неправдивих відомостей до органу ведення Державного реєстру виборців або інше несанкціоноване втручання в роботу Державного реєстру виборців",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119","119",2013,"V","158",4,"Стаття 158. Надання неправдивих відомостей до органу ведення Державного реєстру виборців або інше несанкціоноване втручання в роботу Державного реєстру виборців",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","120",2013,"V","158",5,"Стаття 158. Надання неправдивих відомостей до органу ведення Державного реєстру виборців або інше несанкціоноване втручання в роботу Державного реєстру виборців",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","121",2013,"V","158",6,"Стаття 158. Надання неправдивих відомостей до органу ведення Державного реєстру виборців або інше несанкціоноване втручання в роботу Державного реєстру виборців",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122","122",2013,"V","158",7,"Стаття 158. Надання неправдивих відомостей до органу ведення Державного реєстру виборців або інше несанкціоноване втручання в роботу Державного реєстру виборців",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","123",2013,"V","158",8,"Стаття 158. Надання неправдивих відомостей до органу ведення Державного реєстру виборців або інше несанкціоноване втручання в роботу Державного реєстру виборців",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","124",2013,"V","158",9,"Стаття 158. Надання неправдивих відомостей до органу ведення Державного реєстру виборців або інше несанкціоноване втручання в роботу Державного реєстру виборців",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","125",2013,"V","159-1",1,"Стаття 159-1. Порушення порядку фінансування політичної партії, передвиборної агітації чи агітації референдуму",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","126",2013,"V","159-1",2,"Стаття 159-1. Порушення порядку фінансування політичної партії, передвиборної агітації чи агітації референдуму",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127","127",2013,"V","159-1",3,"Стаття 159-1. Порушення порядку фінансування політичної партії, передвиборної агітації чи агітації референдуму",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
